otu_id	reference_id	reference_taxonomy	phylum	class	order	family	genus	species	rank	score	abundance
a798ce698344ca1fc1729062d92c7d767909c8d4	EUK0649695	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0003	genus	0.994	1940
487404768ea39041910b59160f20688f803f0dd7	EUK1006972	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0001	genus	0.994	1895
7bb284458b6cc3c6e1da52166bbfe557396f0c27	EUK0633730	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;s__	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	Ramaria_pseudo_sp_0001	genus	1	1895
503bcc29e5dbeec76bbe921a61544ce120759734	DQ328168	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Descomyces;s__Descomyces_albus	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Descomyces	Descomyces albus	species	0.998	1850
b23db9258edd3bddf23a7eeb5493adf6d4220ae1	KR364095	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_subclarkeae	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus subclarkeae	species	0.996	1763
4c98fec2be6c4409ec41ed605f698ab53569330f	EUK0436768	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0004	genus	0.991	1660
f48c1eaa354e2256f9ec94d99d296d9a77403893	EUK0633786	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0005	genus	1	1654
44c5fded97f8714409e84284b2840f1359df0776	KU685680	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__Laccaria_canaliculata	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria canaliculata	species	1	1647
f22a12d01b8aebe447e5bc484271631b094c9ab2	GU222296	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiales;f__Leotiaceae;g__Leotia;s__Leotia_lubrica	Ascomycota	Leotiomycetes	Leotiales	Leotiaceae	Leotia	Leotia lubrica	species	0.998	1625
1b9eab50549e1aaa99a843b83cb8b8a986dcee0b	EUK0633742	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Ruhlandiella;s__	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Ruhlandiella	Ruhlandiella_pseudo_sp_0002	genus	1	1612
678109466a86f9a753634ca4c54c01f6f32b2b43	EUK0633719	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Gallaceaceae;g__Austrogautieria;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Gallaceaceae	Austrogautieria	Austrogautieria_pseudo_sp_0001	genus	0.998	1582
a4fb355a2ea81965b9d543fd9741da13531f02b4	EUK0437318	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0006	genus	0.985	1561
ba6252b2c354ed02928543d9ab3be9b2e0840253	EUK1150620	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_viridiolivaceum	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma viridiolivaceum	species	0.993	1532
05dba4c47f75989b92f35dbe10a9681d58ce694f	EUK0633739	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0004	genus	0.995	1479
8c75c9977e68de672eda64acf2d7d3a0315fcafa	EUK0427837	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Astrosporina;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Astrosporina	Astrosporina_pseudo_sp_0001	genus	0.989	1472
1fc36d004b8c94d8d254d85df1481e1c4fe8d422	EUK0633736	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0007	genus	0.998	1454
de5beef1b1cfbf0d9ddc09488d3b66edce989042	EUK0436307	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus_pseudo_sp_0001	genus	0.989	1413
83d8079567bcee6a7769582ec9b686f1c511b8a9	KJ756472	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_australiensis	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe australiensis	species	0.99	1392
1056f78113a45e75081991ba9076cdf24d6b3b65	EUK0633747	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Aleurina;s__	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleurina	Aleurina_pseudo_sp_0002	genus	1	1383
987ab3f82cd4b09b41b0f87e6fe0d10ad6e56a65	EUK0633771	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0002	genus	1	1352
44a054df8ec486f6b1f1d1393bbd8269cee76263	OQ077632	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Sclerodermataceae;g__Scleroderma;s__Scleroderma_aurantium	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma aurantium	species	1	1338
109a24fa663a7968d2891618f431a189beca2f37	KM067839	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_pseudo_sp_0002	genus	0.99	1335
67bc9d47c6ad8c049025c7b7da3ae126f8bb7fd0	EUK0438673	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0003	genus	0.996	1279
29b0001da90f30ddac499565997aa7bd11957c4c	KC411989	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Phaeohelotium;s__Phaeohelotium_succineoguttulatum	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Phaeohelotium	Phaeohelotium succineoguttulatum	species	0.993	1262
2adcf5ba18c8608c4187d46016a4dd3be6852b81	EUK0437790	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0009	genus	0.998	1227
a0acf01a65f5ec2a1f3261138233c887bb385cff	EUK1665589	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0008	genus	0.99	1224
68c00977a04613495a97b054550deb544f96d9bb	KT875191	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_waiporianus	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius waiporianus	species	0.99	1203
34f49e4a214b367c5e9f02bd504f459ddbeaf736	JF960730	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0005	genus	0.998	1186
f0b49d510e42ead87d342adb5e153a51b84f28dc	EUK0633758	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0005	genus	1	1159
fac8265a9db28fef4ca3ca283e483001f3bdb652	EUK0634796	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Imperator;s__	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Imperator	Imperator_pseudo_sp_0001	genus	1	1131
d567f49486a938bf710006a001c83bd6e2d4e907	EUK0633767	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0010	genus	1	1113
dcbb5fd5e4907e80e77f45a72407b62c506a5703	EUK0633749	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Gomphaceae;g__Ramaria;s__	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	Ramaria_pseudo_sp_0002	genus	1	1060
a3d4902591c8e76dcc85841aa655fde12efaa929	EUK0439528	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0004	genus	0.993	1048
863b1d5013d4d0075199d7d4248bce029afcc795	KP191872	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Thaxterogaster;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Thaxterogaster	Thaxterogaster_pseudo_sp_0001	genus	0.995	1029
f4e78d6d9aef41e595ca8c8d785c6cd50b5c5c1d	EUK0633752	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Aleurina;s__	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleurina	Aleurina_pseudo_sp_0003	genus	1	1024
144cb327faed64a97cc9b0d5abab506b32d81532	GU258306	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus_pseudo_sp_0002	genus	0.996	999
2549310653cea609799bb3cf13439ec4ccdf7b99	EUK0633760	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae;g__Elaphomyces;s__	Ascomycota	Eurotiomycetes	Eurotiales	Elaphomycetaceae	Elaphomyces	Elaphomyces_pseudo_sp_0001	genus	1	983
ee1a126e5b14efe69eb3de9ca4f2c0d5149e70fa	KU685690	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__Laccaria_laccata	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria laccata	species	0.995	969
22a64e5093cd8c2a52b02ef8afb062a16ad3247c	AY318745	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Pisolithaceae;g__Pisolithus;s__Pisolithus_marmoratus	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	Pisolithus marmoratus	species	0.998	969
58f4dd319dd4623a90b054593834e1a39fa79d39	JF960766	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0005	genus	1	956
27cac779b45b303b508a7186c81c2745b61d634e	LC122098	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Tylopilus;s__	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Tylopilus	Tylopilus_pseudo_sp_0001	genus	0.982	953
ee925954799f4b913f4f788747655b170eda8203	EUK0437318	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0011	genus	0.984	932
6cdd3624f993fe5fe7ca0b31b096c31c7a7df1c5	EUK0633774	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0012	genus	1	923
85ce4d96ebeef795457a4bdb70639eefbc5710c5	UDB013385	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_sp_0005	genus	0.997	883
edbd2d02b55c5ebdc12118fee681e3002bbe7042	EUK0633793	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina;s__	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina_pseudo_sp_0003	genus	0.995	847
86d8b9aecb88ed2afe1fb51a446bc2c10628bcf1	EUK0634019	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Mesophelliaceae;g__Mesophellia;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Mesophelliaceae	Mesophellia	Mesophellia_pseudo_sp_0002	genus	0.998	832
400a10ab28231d157f1cb549024d006d293952f6	KX058331	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__Laccaria_glabripes	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria glabripes	species	0.993	823
a06171680205a8f602c7a7dfdbbd4437103ba0b7	EUK0633798	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0014	genus	1	818
f0aec7754fc5ab3b61a2ecab9a89eab161470ec3	EUK0633944	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0006	genus	0.998	806
f21da136fde802650aa898c6af6e760e40830105	EUK0437835	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0015	genus	1	804
8326fefd8444c7a332fe0f09c3be3eff5ef4401a	DQ388858	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0013	genus	0.987	788
4565824fd2953fb1d27700195663a6e4f663d1f1	EUK0633733	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0016	genus	1	786
4ab19da08585f5b778b66b7013f7ba0a2ef30715	MH101544	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0006	genus	0.985	778
5330b89e72b7e4ce6a9a04a978894c38b40ceda1	MG553088	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0007	genus	0.995	774
a1dbd35083b0aacbe1ae8f2ab5fd826580f1d699	EUK0436907	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0017	genus	0.989	769
a542e600e54a8b5616daa887d118f329bbcbebc6	EUK0634106	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0006	genus	1	762
23f5a17c5165ab45e093bb9e795773435fda6eb6	EUK0633852	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Hysterangiaceae;g__Hysterangium;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Hysterangiaceae	Hysterangium	Hysterangium_pseudo_sp_0001	genus	1	741
3da3128d1fb329c6190bf0455b3c8d33c9cfe147	EUK0833074	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Mesophelliaceae;g__Chondrogaster;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Mesophelliaceae	Chondrogaster	Chondrogaster_pseudo_sp_0002	genus	0.99	734
0c7e2c29a3a3809510bee73211b34c9b10ff8104	EUK0649722	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0007	genus	1	726
7fe5d3d85394e906eae7a26e77f8cdbd149a5502	UDB004099	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_sp_0007	genus	0.994	716
7d09be50ec0777f8987f7917cc2812cb03d10d1c	MG553184	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0008	genus	0.993	713
09997a606eb4a7e287da7b77b3ac791f01dd449a	EUK0633901	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Mesophelliaceae;g__Mesophellia;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Mesophelliaceae	Mesophellia	Mesophellia_pseudo_sp_0003	genus	0.987	704
0d366a2306bcad4400eaac51e0e79d43d29da06b	EUK0635716	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0018	genus	1	703
