sample_id,project,sample_id_verbatim,flow_id,date,longitude,latitude,ammonium,nitrate,nitrogen,carbon,ph,phosphorus,potassium,sulphur,texture,vegetation
m44,my_sites,burrinjuck,MySamples,13/5/2024,148.6413647,-34.9523195,12,1,0.29,4.48,5.7,10,314,5.7,2,eucalyptus
m45,my_sites,kyeamba,MySamples,13/5/2024,147.6304716,-35.481827,7,1,0.13,2.39,4.7,5,196,4.1,2.5,eucalyptus
m46,my_sites,woomargama,MySamples,13/5/2024,147.3005073,-35.8823809,15,1,0.27,3.59,5.6,5,378,5.4,2.5,eucalyptus
m5,my_sites,ensay,MySamples,4/5/2024,147.8276435,-37.4499928,11,8,0.24,2.93,4.6,6,299,6.3,2.5,eucalyptus;banksia
m6,my_sites,bruthen,MySamples,4/5/2024,147.8350038,-37.6910016,3,1,0.09,2.43,4,3,77,3.3,2,eucalyptus;acacia
m7,my_sites,fernbank,MySamples,4/5/2024,147.3207281,-37.9068838,5,1,0.12,3.08,3.7,3,51,4.2,1.5,eucalyptus;acacia
m8,my_sites,nowa_nowa,MySamples,5/5/2024,148.1060333,-37.7320462,7,1,0.23,3.95,4.2,3,165,7.8,2,eucalyptus
m9,my_sites,brodribb,MySamples,5/5/2024,148.6184965,-37.6877451,10,1,0.13,3.57,4.6,2,111,12.8,2,eucalyptus
s12428,aus_micro,102.100.100/12428,AC9CM,16/7/2013,148.336683,-42.105769,17,10,0.19,4.08,6.8,12,282,26.4,1.5,
s12430,aus_micro,102.100.100/12430,A64JJ,16/7/2013,148.2641,-42.1685,6,20,0.57,5.3,6.6,12,184,14,1.5,
s12438,aus_micro,102.100.100/12438,A64JJ,17/7/2013,148.3021,-42.0578,7,2,0.27,4.33,5.3,6,158,11.8,1.5,
s12614,aus_micro,102.100.100/12614,AAVYC,23/1/2014,150.265414,-33.659823,4,50,0.2,3.11,6.1,165,310,16.7,1.5,
s12884,aus_micro,102.100.100/12884,A64JJ,5/9/2013,145.029247,-36.673214,3,1,0.19,3.13,4.5,6,295,7.2,2.5,
s12903,aus_micro,102.100.100/12903,AAVYC,6/12/2013,146.6542886,-43.09507123,10,1,0.19,4.62,3.4,8,123,10.2,1,
s138530,aus_micro,102.100.100/138530,K3W8G,16/3/2022,147.063393,-40.991764,14,11,0.43,4.52,5.3,16,426,22.8,1.5,
s15825,aus_micro,102.100.100/15825,ANVM7,21/8/2014,152.424726,-28.288659,78,71,0.79,5.66,4.2,41,350,16.1,1.5,
s15827,aus_micro,102.100.100/15827,ANVM7,21/8/2014,152.426866,-28.227608,72,24,0.78,5.51,4.8,30,366,19.4,1.5,
s15829,aus_micro,102.100.100/15829,ANVM7,21/8/2014,152.427209,-28.227565,57,7,0.7,5.22,5.4,136,535,5.5,1.5,
s15947,aus_micro,102.100.100/15947,AGEDA,15/10/2014,147.40767,-42.40422,4,1,0.09,2.51,3.6,7,104,3.6,1.5,
s15949,aus_micro,102.100.100/15949,AGEDA,15/10/2014,147.39757,-42.32849,5,1,0.13,3.06,3.3,12,148,2.1,1.5,
s15965,aus_micro,102.100.100/15965,AGEDA,17/10/2014,147.45611,-42.54522,9,1,0.13,2.25,3.5,8,104,2.8,1.5,
s15981,aus_micro,102.100.100/15981,AGEDA,7/11/2014,147.20049,-42.55598,9,14,0.48,4.9,5.1,17,304,5.7,2,
s15987,aus_micro,102.100.100/15987,AGEDA,13/11/2014,147.01964,-42.40184,3,1,0.13,2.67,4,12,110,2,1.5,
s15997,aus_micro,102.100.100/15997,AGEFG,13/11/2014,146.77292,-42.57264,2,1,0.08,1.2,3.7,9,75,1.6,1.5,
s16001,aus_micro,102.100.100/16001,AGEFG,21/11/2014,147.31891,-41.77754,6,1,0.12,2.74,4.3,3,59,3.8,1.5,
s19481,aus_micro,102.100.100/19481,AGEFG,19/2/2015,150.72482,-33.61583,11,5,0.15,3.18,4.1,7,129,7,2,
s19501,aus_micro,102.100.100/19501,AGEFG,23/2/2015,150.72577,-33.61158,7,4,0.07,1.35,4.4,4,51,3.8,1.5,
s19505,aus_micro,102.100.100/19505,AGEFG,23/2/2015,150.72878,-33.6145,11,8,0.1,1.2,4.4,5,87,3.9,1.5,
s19507,aus_micro,102.100.100/19507,AGEFG,25/2/2015,150.71983,-33.61007,11,17,0.42,4.66,5.1,12,225,6.8,2,
s19509,aus_micro,102.100.100/19509,AGEFG,25/2/2015,150.72043,-33.61072,18,9,0.37,3.7,4,12,244,10,2,
s19511,aus_micro,102.100.100/19511,AGEFG,25/2/2015,150.72095,-33.61255,6,1,0.07,1.22,4.4,3,62,4.8,1.5,
s19594,aus_micro,102.100.100/19594,B39FT,18/11/2015,150.2281468,-33.08392283,2,3,0.14,2.53,4.9,4,406,10.8,3,
s39300,aus_micro,102.100.100/39300,BC267,10/4/2017,145.5155976,-37.53328291,23,39,0.75,6.06,4.1,15,309,11.3,1.5,
s39314,aus_micro,102.100.100/39314,BC8BY,22/4/2017,145.903778,-37.84734516,21,36,0.42,4.92,4.3,16,171,7.7,1.5,
s39326,aus_micro,102.100.100/39326,BC8BY,5/5/2017,145.9055867,-37.867226,31,2,0.27,5.48,4.9,10,270,8.7,1.5,
s39352,aus_micro,102.100.100/39352,BC267,28/5/2017,145.9047119,-37.86564966,27,1,0.26,4.36,4.6,6,215,8.3,2,
s401612,aus_micro,102.100.100/401612,KG28C,30/11/2021,150.6561,-34.5669,15,17,0.43,3.09,4.2,10,106,8.7,2,
s401614,aus_micro,102.100.100/401614,KG28C,30/11/2021,150.84319,-34.402,5,33,0.32,2.74,4.9,24,188,11.2,2.5,
s401616,aus_micro,102.100.100/401616,KG28C,30/11/2021,150.84216,-34.4029,9,50,0.46,3.86,5.1,37,297,14.1,2.5,
s401618,aus_micro,102.100.100/401618,KG28C,30/11/2021,150.84111,-34.4036,9,61,0.39,4.05,5.2,45,355,11.8,2,
s401620,aus_micro,102.100.100/401620,KG28C,30/11/2021,151.03063,-34.1485,8,24,0.51,5.22,4.7,15,251,5.2,2,
s401622,aus_micro,102.100.100/401622,KG28C,30/11/2021,151.03944,-33.7464,19,2,0.15,3.18,4.6,2,122,6.7,1.5,
s401632,aus_micro,102.100.100/401632,KG28C,7/12/2021,151.68166,-32.1227,16,60,0.71,4.97,4.6,27,309,11,2.5,
s401634,aus_micro,102.100.100/401634,KG28C,8/12/2021,151.8161,-31.9817,13,33,0.45,4.36,5,20,390,8.6,2.5,
s401644,aus_micro,102.100.100/401644,KG28C,9/12/2021,152.79508,-30.361,31,9,0.62,4.72,3.8,13,122,13.9,2.5,
s401646,aus_micro,102.100.100/401646,KG28C,9/12/2021,152.79378,-30.362,31,6,0.67,4.99,3.7,11,213,15,2.5,
s401650,aus_micro,102.100.100/401650,KG28C,9/12/2021,152.73093,-30.3655,12,71,0.86,5.69,5.3,239,674,7.5,2.5,
s401652,aus_micro,102.100.100/401652,KG28C,10/12/2021,150.78452,-31.9004,5,13,0.34,3.59,5.7,119,583,5.3,2.5,
s401654,aus_micro,102.100.100/401654,KG28C,10/12/2021,150.26694,-32.45,2,1,0.14,3.06,3.8,3,309,6.2,1,
s401656,aus_micro,102.100.100/401656,KG28C,10/12/2021,150.26933,-32.3984,5,35,0.18,3.46,4.4,8,301,4.8,1.5,
s401658,aus_micro,102.100.100/401658,KG28C,10/12/2021,150.27246,-32.4029,4,17,0.18,2.51,5,6,293,3.2,1.5,
s401660,aus_micro,102.100.100/401660,KG28C,24/1/2022,150.22814,-33.0839,3,11,0.18,2.26,5.1,4,360,3.7,2,
s401954,aus_micro,102.100.100/401954,VicMicro,15/2/2022,146.2908244,-37.96905046,18,2,0.24,4.12,3.5,5,169,8.6,2.5,
s401956,aus_micro,102.100.100/401956,VicMicro,15/2/2022,146.4612762,-38.61050988,10,34,0.32,3.37,5.1,24,458,5,3,
s401964,aus_micro,102.100.100/401964,VicMicro,15/2/2022,146.2639099,-38.08056599,13,1,0.25,4.74,3.8,6,168,5.7,2.5,
s401972,aus_micro,102.100.100/401972,VicMicro,15/3/2022,141.5596558,-38.03423517,54,3,0.28,3.9,4.6,7,110,9.9,2.5,
s401974,aus_micro,102.100.100/401974,VicMicro,28/2/2022,147.217878,-37.55587319,21,18,0.31,5.03,4.5,10,330,5.7,2.5,
s401978,aus_micro,102.100.100/401978,VicMicro,15/2/2022,146.2933663,-37.97120853,8,1,0.31,4.68,4,2,137,6.5,3,
s401996,aus_micro,102.100.100/401996,VicMicro,3/3/2022,146.1810892,-36.30295522,14,2,0.15,2.62,4.3,4,193,4.9,2.5,
s402006,aus_micro,102.100.100/402006,VicMicro,22/2/2022,147.8768996,-36.27076227,4,1,0.1,1.63,5.7,48,175,1.7,2.5,
s402112,aus_micro,102.100.100/402112,VicMicro,9/3/2022,148.9707493,-37.30413664,4,8,0.11,1.18,4.4,4,185,3.6,3,
s402116,aus_micro,102.100.100/402116,VicMicro,16/2/2022,146.2159607,-38.57075565,28,34,0.57,4.51,4.1,3,315,5.7,3.5,
s402118,aus_micro,102.100.100/402118,VicMicro,17/3/2022,143.5203708,-38.59817095,56,15,0.5,4.66,4.5,21,338,8.9,3,
s402120,aus_micro,102.100.100/402120,VicMicro,17/3/2022,143.5731534,-38.61613613,47,8,0.26,4.24,3.7,5,280,5.7,2.5,
s402122,aus_micro,102.100.100/402122,VicMicro,17/3/2022,143.8606784,-38.51461611,80,3,0.72,4.5,4.7,19,425,5.8,3,
s402124,aus_micro,102.100.100/402124,VicMicro,17/2/2022,146.5620512,-38.38884779,38,8,0.51,4.01,4.8,18,526,3.6,2,
s402150,aus_micro,102.100.100/402150,VicMicro,17/2/2022,146.7311651,-38.4326222,18,24,0.49,4.44,5.1,43,381,6.7,2.5,
s62120,aus_micro,102.100.100/62120,BY245,13/12/2017,144.929637,-38.474406,14,2,0.09,1.69,5.1,10,114,10,1,
s62128,aus_micro,102.100.100/62128,BY245,11/12/2017,144.323495,-37.673298,34,2,0.51,2.44,3.8,27,274,47.9,2,
s62134,aus_micro,102.100.100/62134,BY245,8/12/2017,144.345655,-37.577073,7,1,0.09,1.83,4,8,129,12.1,3,
s62150,aus_micro,102.100.100/62150,BY245,22/11/2017,145.649607,-37.801772,51,10,0.54,3.9,3.7,25,207,39.8,2,
s62152,aus_micro,102.100.100/62152,BY245,22/11/2017,145.649331,-37.801552,41,10,0.48,4.72,3.5,18,157,35.6,2,
s62154,aus_micro,102.100.100/62154,BY245,22/11/2017,145.649357,-37.801445,63,12,0.45,4.49,3.4,29,169,69.5,2,
s62156,aus_micro,102.100.100/62156,BY245,14/11/2017,145.649147,-37.801373,37,7,0.46,4.46,3.9,30,125,17.5,1.5,
s62158,aus_micro,102.100.100/62158,BY245,13/11/2017,145.648944,-37.801194,49,8,0.44,3.94,3.8,44,208,77.3,1.5,
s62160,aus_micro,102.100.100/62160,BY245,22/11/2017,145.648936,-37.8012,36,10,0.48,4.75,3.7,34,100,45.8,1.5,
s62162,aus_micro,102.100.100/62162,BY245,14/11/2017,145.648828,-37.800879,44,8,0.42,4.51,4.5,99,111,21.4,2.5,
s62164,aus_micro,102.100.100/62164,BY245,14/11/2017,145.648857,-37.801186,53,16,0.43,4.77,4.3,75,224,52,2.5,
s62166,aus_micro,102.100.100/62166,BY245,13/11/2017,145.648791,-37.801394,32,10,0.46,4.19,4.5,96,165,26.2,2.5,
s62168,aus_micro,102.100.100/62168,BY245,7/12/2017,145.836581,-37.690526,18,3,0.28,3.22,3.8,24,103,21.9,2.5,
s62170,aus_micro,102.100.100/62170,BY245,15/11/2017,145.837033,-37.690414,31,1,0.27,3.5,3.9,29,120,35.2,1.5,
s62172,aus_micro,102.100.100/62172,BY245,23/11/2017,145.837101,-37.690387,33,2,0.38,4.25,4.1,28,106,29.8,2,
s62174,aus_micro,102.100.100/62174,BY245,15/11/2017,145.836941,-37.690535,45,1,0.4,4.6,3.9,39,80,71.4,2.5,
s7839,aus_micro,102.100.100/7839,A79NR,17/8/2012,150.6583748,-35.12804944,6,3,0.22,2.55,3.9,7,89,3.5,1.5,
s7857,aus_micro,102.100.100/7857,A90G8,25/10/2012,150.6326533,-35.16181402,4,3,0.02,0.47,7.5,3,42,3.7,1.5,
s7863,aus_micro,102.100.100/7863,A90G8,26/10/2012,150.5937279,-35.17710152,5,24,0.66,3.48,7.2,10,78,10.1,1.5,
s9450,aus_micro,102.100.100/9450,A5P6W,31/5/2013,148.8271,-35.3941,9,10,0.19,4.53,4.1,16,210,4.5,1.5,
s9466,aus_micro,102.100.100/9466,A64JJ,9/7/2013,148.9085,-35.59065,8,1,0.28,4.03,5.6,27,237,6.8,2,
s9586,aus_micro,102.100.100/9586,A90G8,18/1/2013,148.029095,-41.183047,3,1,0.25,0.89,4.1,2,126,1.6,2,
