sample_id	sample_id_verbatim	date	longitude	latitude	ammonium	nitrate	nitrogen	carbon	ph	phosphorus	potassium	sulphur	texture	vegetation	bio1	bio4	bio7	bio12	bio15	aridity_index	nitrogen_georef	phosphorus_georef	ph_georef	carbon_georef	am_tree_basal_area	am_tree_basal_area_pctl	ecm_tree_basal_area	ecm_basal_area_percentile_pctl	am_tree_richness	am_tree_richness_pctl	ecm_tree_richness	ecm_richness_percentile_pctl
m28	pelton	9/5/2024	151.3129143	-32.8769367	7	1	0.1	1.8	4.4	2	111	3.6	3	eucalyptus;banksia;acacia	17.3813037872314	1.495929479599	24.8013916015625	783.698486328125	35.1255073547363	0.401481151580811	0.175065875053406	25	4.68982744216919	2	0.176052182912827	53	0.760912895202637	41	3.27814912796021	38	5.2471809387207	74
m29	ballengarra	9/5/2024	152.8153667	-31.2379496	15	1	0.17	3.68	4.4	6	120	5.1	3	eucalyptus;allocasurina;leptospermum;banksia;acacia	18.0503044128418	1.2560795545578	21.7064723968506	1304.9306640625	42.2241287231445	0.51814591884613	0.186714246869087	27	4.56542015075684	3.95000004768372	0.372277319431305	98	0.592948853969574	5	4.44069385528564	63	5.85990047454834	86
m3	bright	4/5/2024	146.965788	-36.7134816	12	1	0.31	3.98	4.8	10	386	6.1	2	eucalyptus;allocasurina	12.8404407501221	1.70406711101532	27.200231552124	1342.15673828125	38.7371406555176	0.326719969511032	0.336611866950989	43	4.63332033157349	6.21999979019165	0.0771779641509056	11	0.897454679012299	93	3.59110808372498	45	4.66458082199097	57
m31	urunga	10/5/2024	153.0033007	-30.5291216	16	1	0.28	4.03	4.1	4	154	7.5	2.5	eucalyptus;allocasurina;acacia	18.7696151733398	1.27368247509003	21.5049362182617	1513.64721679688	48.1496047973633	0.555010139942169	0.188677400350571	29	4.47618818283081	4.73000001907349	0.386623412370682	98	0.571906387805939	4	6.57397937774658	87	3.24512004852295	22
m32	tyringham	10/5/2024	152.5333301	-30.226793	20	1	0.29	4.17	4.4	10	184	5.8	2.5	eucalyptus;acacia;allocasurina;banksia;leptospermum	14.1316871643066	1.43617343902588	23.5142383575439	1253.24670410156	49.9780616760254	0.475103825330734	0.226299300789833	33	4.63651084899902	4.67000007629395	0.296699076890945	88	0.680643022060394	16	4.53629159927368	65	2.45535516738892	9
m33	bombom	10/5/2024	152.9501038	-29.7782549	18	1	0.27	3.69	5.1	12	355	7	2	eucalyptus	18.9413776397705	1.39745283126831	24.1717014312744	1039.61853027344	46.3039894104004	0.328866750001907	0.15077605843544	45	4.62951707839966	2.38000011444092	0.27440145611763	83	0.667096436023712	14	4.96154689788818	72	4.52951574325562	53
m34	tabbimobile	10/5/2024	153.2331992	-29.2556981	15	1	0.16	3.05	4.3	2	78	3.7	3	eucalyptus;acacia;banksia	19.2183647155762	1.25943350791931	21.7071189880371	1301.33569335938	46.0881729125977	0.42324024438858	0.100033834576607	19	4.15606498718262	4.51999998092651	0.363833069801331	97	0.564077734947205	4	2.55866408348084	22	4.94716882705689	66
m35	cricklewood	11/5/2024	153.2272521	-28.1905554	23	2	0.25	3.79	4.6	10	159	7.2	3	eucalyptus;exocarpos	18.8395080566406	1.23786389827728	21.5262622833252	1590.06323242188	49.6323661804199	0.44023808836937	0.333048403263092	38	4.71264696121216	5.48000001907349	0.261263877153397	80	0.706774473190308	22	9.30300712585449	97	2.09411573410034	5
m36	cawongla	11/5/2024	153.0827052	-28.5748735	11	49	0.68	4.38	6.2	53	702	13.2	2	eucalyptus	17.5260181427002	1.29937100410461	22.3379936218262	1503.931640625	48.9384498596191	0.433512955904007	0.390233725309372	68	4.88501167297363	4.96999979019165	0.243686020374298	75	0.735755264759064	32	7.00665760040283	89	3.34824085235596	24
m37	ellangowan	11/5/2024	153.0109591	-29.0311078	20	1	0.23	3.45	5.2	6	213	7	3	eucalyptus;acacia	19.0908737182617	1.40180289745331	25.1772289276123	1054.95166015625	49.4108009338379	0.260490596294403	0.157961755990982	50	4.68873977661133	3.30999994277954	0.258064746856689	79	0.677421033382416	15	3.0624783039093	33	4.51204538345337	53
m38	girard	11/5/2024	152.3156755	-28.9263767	18	1	0.19	4.14	4.3	4	143	5.9	3	eucalyptus;acacia;chrysocephalum	14.9196844100952	1.42171394824982	23.6039695739746	1049.70874023438	46.9517326354981	0.410144686698914	0.166529789566994	50	4.91640520095825	4.51000022888184	0.256179600954056	79	0.718587696552277	26	5.01659631729126	72	4.9475040435791	66
m39	dundee	11/5/2024	151.8385709	-29.637042	19	26	0.63	5.2	5.1	10	254	5.5	2	eucalyptus	13.1451683044434	1.61625671386719	25.5943775177002	837.993286132813	38.8807487487793	0.577807128429413	0.132052689790726	34	4.90218257904053	2.63000011444092	0.239445745944977	73	0.732654213905335	31	1.18511700630188	2	6.12415027618408	90
m4	omeo	4/5/2024	147.5628424	-37.11119733	7	1	0.19	2.56	5.2	15	347	3.4	2	eucalyptus	11.4831686019897	1.55069077014923	25.3595485687256	658.118835449219	16.8655109405518	0.330027401447296	0.210296675562859	44	4.98433065414429	5.63000011444092	0.0576321557164192	2	0.920148611068726	100	1.91969633102417	11	7.36060762405396	99
m40	blackie	11/5/2024	151.663247	-30.3369048	10	3	0.5	4.16	5	24	288	9.1	2	eucalyptus	12.8005542755127	1.6327737569809	25.5510425567627	790.5234375	37.2823867797852	0.568454384803772	0.160654306411743	27	4.93070650100708	2.75999999046326	0.175301238894463	53	0.80572110414505	55	1.57902836799622	7	4.74159717559815	59
m41	yarrowitch	11/5/2024	152.0156011	-31.3354701	42	1	0.47	4.7	4.4	106	482	10.4	2.5	eucalyptus	12.8881530761719	1.50086796283722	23.7636890411377	1117.46557617188	41.2311897277832	0.618839502334595	0.20411342382431	41	4.43996810913086	5	0.257607191801071	79	0.728120446205139	29	3.77362060546875	49	2.70160055160522	13
m42	kiwarrak	12/5/2024	152.4661632	-31.9727582	12	6	0.43	4.36	5.7	22	283	7.5	2.5	eucalyptus;acacia	17.8481769561768	1.32298409938812	22.1768627166748	1195.32897949219	39.8815422058106	0.580764949321747	0.190563291311264	28	4.41713857650757	4.30999994277954	0.330302178859711	94	0.633737862110138	9	5.3894214630127	77	5.33615350723267	76
m43	bulahdelah	12/5/2024	152.2339594	-32.3875073	14	1	0.26	3.98	3.5	4	166	11.6	2.5	eucalyptus	18.0660743713379	1.3130077123642	21.2422065734863	1233.19030761719	30.858850479126	0.545730948448181	0.215198710560799	22	4.27355813980103	3.42000007629395	0.333383142948151	94	0.640209197998047	10	4.15282487869263	57	4.2850832939148	46
m44	burrinjuck	13/5/2024	148.6413647	-34.9523195	12	1	0.29	4.48	5.7	10	314	5.7	2	eucalyptus	14.2219305038452	1.89370489120483	27.7668113708496	835.254455566406	22.5917854309082	0.319071710109711	0.192818865180016	24	4.68759679794312	3.1800000667572	0.135555282235146	38	0.828602135181427	64	2.20435070991516	16	6.03770065307617	89
m45	kyeamba	13/5/2024	147.6304716	-35.481827	7	1	0.13	2.39	4.7	5	196	4.1	2.5	eucalyptus	14.0826864242554	1.90670561790466	28.7148952484131	812.260131835938	27.8301010131836	0.251981884241104	0.18231500685215	20	4.4957103729248	3.05999994277954	0.227890938520432	69	0.732522785663605	31	1.32684111595154	4	5.10067367553711	70
m46	woomargama	13/5/2024	147.3005073	-35.8823809	15	1	0.27	3.59	5.6	5	378	5.4	2.5	eucalyptus	13.7539863586426	1.89624845981598	28.0101146697998	831.197021484375	28.8838596343994	0.258891135454178	0.209196224808693	22	4.51567602157593	3.63000011444092	0.144044831395149	41	0.817834377288818	60	1.65256285667419	8	5.74556827545166	85
m5	ensay	4/5/2024	147.8276435	-37.4499928	11	8	0.24	2.93	4.6	6	299	6.3	2.5	eucalyptus;banksia	14.0458583831787	1.38054645061493	24.4300003051758	732.456420898438	17.538366317749	0.370039433240891	0.226987615227699	22	4.96262979507446	3.30999994277954	0.0644933208823204	3	0.902546942234039	96	5.08587408065796	73	6.08918952941895	90
m6	bruthen	4/5/2024	147.8350038	-37.6910016	3	1	0.09	2.43	4	3	77	3.3	2	eucalyptus;acacia	14.3964948654175	1.25914740562439	22.5961036682129	730.423767089844	16.0439472198486	0.372644931077957	0.210294649004936	16	4.79051446914673	3.86999988555908	0.0650014355778694	4	0.892017066478729	89	4.61993837356567	66	5.66927480697632	83
m7	fernbank	4/5/2024	147.3207281	-37.9068838	5	1	0.12	3.08	3.7	3	51	4.2	1.5	eucalyptus;acacia	14.2489881515503	1.31803691387177	23.6243381500244	650.831115722656	16.2266311645508	0.340863972902298	0.161901026964188	16	4.94132375717163	3.88000011444092	0.0567146316170692	2	0.874497413635254	82	2.71584510803223	26	5.1075005531311	70
m8	nowa_nowa	5/5/2024	148.1060333	-37.7320462	7	1	0.23	3.95	4.2	3	165	7.8	2	eucalyptus	14.6218509674072	1.25567007064819	22.7278709411621	764.541687011719	14.9961156845093	0.380430310964584	0.216125026345253	23	4.86264228820801	4.32000017166138	0.0736314654350281	8	0.88042551279068	84	4.46297073364258	63	6.16556596755981	91
m9	brodribb	5/5/2024	148.6184965	-37.6877451	10	1	0.13	3.57	4.6	2	111	12.8	2	eucalyptus	14.3740549087524	1.21735644340515	20.9173774719238	1058.05187988281	16.0057849884033	0.523993790149689	0.293334275484085	24	4.4701771736145	5.21000003814697	0.107589207589626	27	0.847970128059387	72	5.40274095535278	78	5.24143695831299	74
s12428	102.100.100/12428	16/7/2013	148.336683	-42.105769	17	10	0.19	4.08	6.8	12	282	26.4	1.5	""	13.348069190979	0.947427332401276	16.7713966369629	654.322998046875	17.4844055175781	0.394750386476517	0.262468099594116	16	4.94211769104004	4.26999998092651	0.221513032913208	67	0.742801904678345	34	2.76532602310181	27	4.62593364715576	56
s12430	102.100.100/12430	16/7/2013	148.2641	-42.1685	6	20	0.57	5.3	6.6	12	184	14	1.5	""	13.0137736511232	0.974220268726347	17.2296183013916	644.823188476548	16.2881163024905	0.387978404164274	0.20022352039814	20	5.58406686782837	4.73999977111816	0.189736396074295	57	0.773357450962067	45	3.47856068611145	43	3.47891092300415	26
s12438	102.100.100/12438	17/7/2013	148.3021	-42.0578	7	2	0.27	4.33	5.3	6	158	11.8	1.5	""	13.3267955780029	0.962325155735016	17.0650825500488	658.582397460938	17.7529296875	0.399788647890091	0.249939188361168	17	4.9851222038269	4	0.20903255045414	63	0.750062108039856	37	2.87868237495422	29	4.73287105560303	59
s12614	102.100.100/12614	23/1/2014	150.265414	-33.659823	4	50	0.2	3.11	6.1	165	310	16.7	1.5	""	12.0765209197998	1.54410302639008	22.7024459838867	1147.359375	30.1164855957031	0.584477543830872	0.246998146176338	63	4.3603253364563	3.65000009536743	0.177641406655312	54	0.789206266403198	50	2.45084381103516	20	4.27245044708252	45
s12884	102.100.100/12884	5/9/2013	145.029247	-36.673214	3	1	0.19	3.13	4.5	6	295	7.2	2.5	""	14.7875881195068	1.74845290184021	27.7336597442627	522.812622070313	23.9912528991699	0.183680400252342	0.155287072062492	11	4.80855798721314	3.05999994277954	0.0822522044181824	15	0.888962030410767	87	2.70673441886902	25	5.30705118179321	75
s12903	102.100.100/12903	6/12/2013	146.6542886	-43.09507123	10	1	0.19	4.62	3.4	8	123	10.2	1	""	11.2397308349609	1.06843900680542	19.6636428833008	1436.47387695313	24.232702255249	0.683811962604523	0.415614247322083	23	4.80099630355835	6.82000017166138	0.25767993927002	79	0.714967250823975	25	6.44350147247315	86	3.18052697181702	21
s138530	102.100.100/138530	16/3/2022	147.063393	-40.991764	14	11	0.43	4.52	5.3	16	426	22.8	1.5	""	13.2513896467544	1.05925216722954	17.4868648421399	716.781981568683	26.4722021516201	0.274662394735054	0.241697669029236	16	5.14187479019165	3.55999994277954	0.126002445816994	34	0.804752171039581	55	4.4695520401001	64	4.83478116989136	62
s15825	102.100.100/15825	21/8/2014	152.424726	-28.288659	78	71	0.79	5.66	4.2	41	350	16.1	1.5	""	15.721245765686	1.41853713989258	23.1005249023438	1123.02294921875	41.5661506652832	0.430549502372742	0.310558527708054	63	5.10642242431641	5.15999984741211	0.209133967757225	63	0.782126605510712	48	9.75638580322266	98	1.30737364292145	1
s15827	102.100.100/15827	21/8/2014	152.426866	-28.227608	72	24	0.78	5.51	4.8	30	366	19.4	1.5	""	14.6894950866699	1.35498809814453	21.0166206359863	1246.94250488281	41.8620223999023	0.559686064720154	0.348266661167145	51	4.65136384963989	5.3899998664856	0.225200355052948	69	0.775942444801331	46	8.87960815429688	96	1.63079607486725	3
s15829	102.100.100/15829	21/8/2014	152.427209	-28.227565	57	7	0.7	5.22	5.4	136	535	5.5	1.5	""	14.6894950866699	1.35498809814453	21.0166206359863	1246.94250488281	41.8620223999023	0.559686064720154	0.404063552618027	56	4.69799566268921	5.44000005722046	0.225200355052948	69	0.775942444801331	46	8.87960815429688	96	1.63079607486725	3
s15947	102.100.100/15947	15/10/2014	147.40767	-42.40422	4	1	0.09	2.51	3.6	7	104	3.6	1.5	""	9.9417667388916	1.20166563987732	20.4181785583496	583.289367675781	14.6694660186768	0.328234076499939	0.236202090978622	17	4.97426080703735	2.74000000953674	0.149645015597343	43	0.827544391155243	64	3.26848292350769	38	5.01674604415894	68
s15949	102.100.100/15949	15/10/2014	147.39757	-42.32849	5	1	0.13	3.06	3.3	12	148	2.1	1.5	""	10.0856781005859	1.22811949253082	20.9908962249756	535.115051269531	14.3125143051147	0.299774408340454	0.205642744898796	16	4.87067174911499	3.58999991416931	0.136683017015457	38	0.842554748058319	70	3.45381712913513	42	5.37225103378296	77
s15965	102.100.100/15965	17/10/2014	147.45611	-42.54522	9	1	0.13	2.25	3.5	8	104	2.8	1.5	""	10.7852592468262	1.1696879863739	19.9974899291992	607.822082519531	14.3043041229248	0.359159886837006	0.189768254756928	10	4.73199081420898	3.04999995231628	0.183344483375549	55	0.778793573379517	47	2.37844157218933	19	6.24538135528565	92
s15981	102.100.100/15981	7/11/2014	147.20049	-42.55598	9	14	0.48	4.9	5.1	17	304	5.7	2	""	10.0996437072754	1.19350135326386	20.6416721343994	618.320861816406	15.2899551391602	0.369858503341675	0.287848860025406	19	5.32158946990967	3.94000005722046	0.14699287712574	42	0.823027014732361	62	3.17463564872742	36	4.94650554656982	66
s15987	102.100.100/15987	13/11/2014	147.01964	-42.40184	3	1	0.13	2.67	4	12	110	2	1.5	""	10.1313972473145	1.25279605388641	22.5371799468994	537.267578125	16.4288425445557	0.27928426861763	0.185418605804443	18	5.15370416641235	2.57999992370605	0.119738176465034	32	0.852114498615265	73	2.68263459205627	25	6.3426685333252	93
s15997	102.100.100/15997	13/11/2014	146.77292	-42.57264	2	1	0.08	1.2	3.7	9	75	1.6	1.5	""	11.6724939346313	1.29377448558807	23.0605812072754	555.284790039063	21.1973609924316	0.244733512401581	0.176797851920128	15	5.4280571937561	2.54999995231628	0.122474963027373	33	0.841660728039356	69	3.69033139163713	47.2185919190925	5.92253395052831	87.2185919190925
s16001	102.100.100/16001	21/11/2014	147.31891	-41.77754	6	1	0.12	2.74	4.3	3	59	3.8	1.5	""	11.4365997314453	1.33805167675018	23.2712230682373	582.808288574219	17.8885078430176	0.245925217866898	0.202054604887962	16	5.42572069168091	2.90000009536743	0.106843732297421	27	0.855294048786163	74	2.60216450691223	23	4.09900188446045	41
s19481	102.100.100/19481	19/2/2015	150.72482	-33.61583	11	5	0.15	3.18	4.1	7	129	7	2	""	17.6955375671387	1.56559562683105	26.20849609375	820.010864257813	37.1922721862793	0.427559792995453	0.165818363428116	8	4.73052263259888	2.72000002861023	0.162372052669525	48	0.77179479598999	44	2.64006114006043	24	5.85905456542969	86
s19501	102.100.100/19501	23/2/2015	150.72577	-33.61158	7	4	0.07	1.35	4.4	4	51	3.8	1.5	""	17.6958465576172	1.56504666805267	26.203332901001	820.722534179688	37.1741104125977	0.428338974714279	0.149532273411751	9	4.68705272674561	1.62000000476837	0.15917107462883	47	0.773152530193329	45	2.78990530967712	27	6.17261791229248	91
s19505	102.100.100/19505	23/2/2015	150.72878	-33.6145	11	8	0.1	1.2	4.4	5	87	3.9	1.5	""	17.6875171661377	1.56390452384949	26.1782398223877	822.089782714844	37.1568641662598	0.428811371326447	0.172542527318001	7	4.64179563522339	1.17999994754791	0.162372052669525	48	0.77179479598999	44	2.64006114006043	24	5.85905456542969	86
s19507	102.100.100/19507	25/2/2015	150.71983	-33.61007	11	17	0.42	4.66	5.1	12	225	6.8	2	""	17.7206249237061	1.56787049770355	26.262487411499	816.01318359375	37.1922721862793	0.425873428583145	0.123368382453918	13	4.6746039390564	3.34999990463257	0.161577522754669	48	0.769611954689026	44	2.79611778259277	27	6.20333433151245	91
s19509	102.100.100/19509	25/2/2015	150.72043	-33.61072	18	9	0.37	3.7	4	12	244	10	2	""	17.7129077911377	1.56693124771118	26.2429714202881	817.524475097656	37.1857681274414	0.426674216985703	0.115728132426739	12	4.67127370834351	2.24000000953674	0.161577522754669	48	0.769611954689026	44	2.79611778259277	27	6.20333433151245	91
s19511	102.100.100/19511	25/2/2015	150.72095	-33.61255	6	1	0.07	1.22	4.4	3	62	4.8	1.5	""	17.7063102722168	1.56673192977905	26.2347068786621	818.284423828125	37.1999702453613	0.426871806383133	0.137407973408699	6	4.6251425743103	1.5	0.161577522754669	48	0.769611954689026	44	2.79611778259277	27	6.20333433151245	91
s19594	102.100.100/19594	18/11/2015	150.2281468	-33.08392283	2	3	0.14	2.53	4.9	4	406	10.8	3	""	14.9646692276001	1.72702586650848	27.8267478942871	685.197692871094	23.2229766845703	0.363262474536896	0.185052007436752	28	5.04262018203735	2.16000008583069	0.130610331892967	36	0.836394548416138	67	3.76774477958679	49	4.24943971633911	45
s39300	102.100.100/39300	10/4/2017	145.5155976	-37.53328291	23	39	0.75	6.06	4.1	15	309	11.3	1.5	""	11.6424322128296	1.40560019016266	20.7272071838379	1337.87780761719	23.9384136199951	0.515133500099182	0.367930859327316	36	4.20055198669434	7.40999984741211	0.112884998321533	30	0.855050384998322	74	3.55042123794556	45	3.10884094238281	20
s39314	102.100.100/39314	22/4/2017	145.903778	-37.84734516	21	36	0.42	4.92	4.3	16	171	7.7	1.5	""	10.1762380599976	1.38160908222198	20.8105640411377	1621.95983886719	25.903657913208	0.644656598567963	0.439341515302658	36	4.30840492248535	8.07999992370606	0.115240134298801	30	0.840990424156189	69	2.49266481399536	21	2.27588796615601	7
s39326	102.100.100/39326	5/5/2017	145.9055867	-37.867226	31	2	0.27	5.48	4.9	10	270	8.7	1.5	""	11.4933204650879	1.33317267894745	22.0137596130371	1336.42810058594	23.0929889678955	0.55318033695221	0.38632071018219	34	4.44857215881348	6.21999979019165	0.104605555534363	26	0.841877579689026	69	2.30838704109192	18	2.41312789916992	9
s39352	102.100.100/39352	28/5/2017	145.9047119	-37.86564966	27	1	0.26	4.36	4.6	6	215	8.3	2	""	11.688684463501	1.32910621166229	22.198974609375	1302.46740722656	22.9797115325928	0.531784355640411	0.367904782295227	33	4.42751264572144	6.44999980926514	0.104605555534363	26	0.841877579689026	69	2.30838704109192	18	2.41312789916992	9
s401612	102.100.100/401612	30/11/2021	150.6561	-34.5669	15	17	0.43	3.09	4.2	10	106	8.7	2	""	15.9673118591309	1.29942429065704	21.198974609375	1352.75915527344	23.8125896453857	0.613901078701019	0.334393978118897	36	4.43564987182617	5.53000020980835	0.190043285489082	57	0.76563960313797	43	5.77014350891113	81	2.88121199607849	16
s401614	102.100.100/401614	30/11/2021	150.84319	-34.402	5	33	0.32	2.74	4.9	24	188	11.2	2.5	""	15.6176290512085	1.27709949016571	20.0616970062256	1488.90783691406	28.445821762085	0.710931062698364	0.356741547584534	43	4.40743446350098	6.09999990463257	0.211153134703636	64	0.759720921516419	41	5.9278769493103	83	2.4274537563324	9
s401616	102.100.100/401616	30/11/2021	150.84216	-34.4029	9	50	0.46	3.86	5.1	37	297	14.1	2.5	""	15.7191944122314	1.27287316322327	20.0419044494629	1476.38793945313	28.2971744537354	0.708698511123657	0.357219904661179	44	4.43006563186646	6.3600001335144	0.211153134703636	64	0.759720921516419	41	5.9278769493103	83	2.4274537563324	9
s401618	102.100.100/401618	30/11/2021	150.84111	-34.4036	9	61	0.39	4.05	5.2	45	355	11.8	2	""	15.7191944122314	1.27287316322327	20.0419044494629	1476.38793945313	28.2971744537354	0.708698511123657	0.359804660081863	45	4.34568214416504	6.46999979019165	0.211153134703636	64	0.759720921516419	41	5.9278769493103	83	2.4274537563324	9
