otu_id	am_group	reference_id	reference_taxonomy	class	order	family	genus	species	rank	score	abundance
8f7508c92a042de4bce02f68e1197348497de8e6	Glomeromycota	EUK1268594	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizoglomus;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0001	genus	0.994	2433
aefce908cb5069b7c88435c62f112f76f9df816e	Glomeromycota	EUK1614053	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen07;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen07	Glomeraceae_gen07_pseudo_sp_0001	genus	0.994	1954
42a26f6a08133e46f32bdc5fea09ce0833628944	Glomeromycota	EUK1201005	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0003	genus	1	1926
342d7e029e86f50fa97df14bc3ce792f2e10101f	Endogonomycetes	MH174526	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortiaceae_gen06;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortiaceae_gen06	Planticonsortiaceae_gen06_pseudo_sp_0001	genus	0.982	1860
93f7caa35e3df770ff0b11c16b88244f2a4d1257	Endogonomycetes	EUK1104237	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam03;g__Densosporales_fam03_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam03	Densosporales_fam03_gen01	Densosporales_fam03_gen01_pseudo_sp_0002	genus	1	1712
ee2391cc476884427859aa147d22040aa084bc5c	Endogonomycetes	JF414230	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporaceae;g__Densospora;s__unclassified	Endogonomycetes	Densosporales	Densosporaceae	Densospora	Densospora_pseudo_sp_0001	genus	0.994	1689
028dd3af62d1c0a08abfc150e1b4459988accc0e	Glomeromycota	AB594909	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen21;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen21	Glomeraceae_gen21_pseudo_sp_0001	genus	0.986	1664
bca4172c991bc14da105eb7ce95f8103009d5a97	Glomeromycota	JF414192	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unclassified;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0002	genus	0.986	1649
6150d9555d3b29738da695c76739d9c851297487	Glomeromycota	EUK1188368	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Silvaspora;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Silvaspora	Silvaspora_pseudo_sp_0001	genus	0.982	1605
a2257030092db00c858c5efd692b2c589826fa0e	Glomeromycota	MG829406	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Polonosporaceae;g__Polonospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Polonosporaceae	Polonospora	Polonospora_pseudo_sp_0001	genus	0.996	1602
79c29fb37691b99c5c9f5551ead0fc407ec75911	Endogonomycetes	KC708405	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortium;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortium	Planticonsortium_pseudo_sp_0001	genus	0.992	1552
210322ef47ab9ab5f5dea789bb4a837483be9037	Glomeromycota	EUK1203061	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0003	genus	0.996	1534
e443ace0b6aacba8ac7fa25dd43bb57553900c16	Glomeromycota	JQ246072	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizoglomus;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0003	genus	1	1525
d72b57545dce1dbf624f7217d7fd5be9ab5efa2e	Glomeromycota	JN644361	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_sp_0002	genus	1	1429
52a7966a0cb96a85b7b1440388efc4ad52690ef6	Endogonomycetes	EUK1138381	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortiaceae_gen01;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortiaceae_gen01	Planticonsortiaceae_gen01_pseudo_sp_0001	genus	0.996	1419
5c626e2cc8747fb76dac23dd1d63af03666def6e	Glomeromycota	EUK1138519	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__unclassified	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora_pseudo_sp_0001	genus	0.998	1343
cb0d5f26f92e2e598d0d1f5eb80a3daa9ab345ea	Endogonomycetes	JF414230	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporaceae;g__Densospora;s__unclassified	Endogonomycetes	Densosporales	Densosporaceae	Densospora	Densospora_pseudo_sp_0002	genus	0.986	1301
a533ab8bc91715af4cd448ed187dac9788d03db8	Glomeromycota	JF414180	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__unclassified;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0004	genus	0.984	1265
6dec1c1b74bdd565cb747cc4a27fa5b58563570d	Glomeromycota	EUK1138534	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Scutellosporaceae;g__Scutellospora;s__unclassified	Glomeromycetes	Gigasporales	Scutellosporaceae	Scutellospora	Scutellospora_pseudo_sp_0001	genus	0.994	1250
9820d4a62e5c7c03eb9fce8e342b6725e1b0b867	Glomeromycota	AM713432	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_aurantia	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora aurantia	species	0.996	1231
c321b78022b1956826cc41b121ec81d8f0a9c494	Endogonomycetes	EUK1190561	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortiaceae_gen01;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortiaceae_gen01	Planticonsortiaceae_gen01_pseudo_sp_0002	genus	0.996	1117
9b304b250cb1c61a0813911ca8c1a215457f3b54	Glomeromycota	KC708363	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__unclassified	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora_pseudo_sp_0001	genus	1	1075
aab44e36889ce202484f14123ccd45b2215738f1	Glomeromycota	EUK1138539	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0004	genus	0.988	1017
efb0f852e37f8d3e67c83a4771566fa474a62ab7	Glomeromycota	EUK1618485	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0004	genus	0.982	977
7a67bfe13ceb747cb2a079ac46e2ece500fd7adc	Glomeromycota	EUK1124337	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus_laccatum	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus laccatum	species	0.998	939
c52d4dc5d108e786a6cdfd3cb211c04388d8437a	Glomeromycota	EUK1266222	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0005	genus	0.998	900
8df953bba5a25f3ca3b0728f03f84ad7688e86b1	Glomeromycota	MG829521	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0005	genus	1	872
3384507f7f67cad3a7855c8191a8b343fe647a3f	Glomeromycota	MG829574	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_sp_0001	genus	0.98	840
622751c9b031ac0ae77bb8a24f3b2e8127c23e9a	Glomeromycota	EUK1266132	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Redeckera;s__unclassified	Glomeromycetes	Diversisporales	Diversisporaceae	Redeckera	Redeckera_pseudo_sp_0001	genus	0.984	777
040230a265a715b398225d58719b01123494f555	Endogonomycetes	MH174531	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam02;g__unclassified;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam02	Densosporales_fam02_pseudo_gen_0001	Densosporales_fam02_pseudo_sp_0001	family	0.974	764
5db8e05738355547df6e05f583caa878aa4a82c7	Endogonomycetes	EUK1138371	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam05;g__Densosporales_fam05_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam05	Densosporales_fam05_gen01	Densosporales_fam05_gen01_pseudo_sp_0002	genus	0.998	755
33fd806650282affc210e36269e8598108fc52de	Endogonomycetes	EUK1231073	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam13;g__Densosporales_fam13_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam13	Densosporales_fam13_gen01	Densosporales_fam13_gen01_pseudo_sp_0001	genus	0.99	745
5253443568ed0aa256c97d201ee79b6de05efab4	Endogonomycetes	EUK1190508	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam02;g__Densosporales_fam02_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam02	Densosporales_fam02_gen01	Densosporales_fam02_gen01_pseudo_sp_0001	genus	0.99	729
b34086b76fb16bdfb9537afc68e03e65bfc3249c	Endogonomycetes	EUK1190559	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam16;g__Densosporales_fam16_gen07;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam16	Densosporales_fam16_gen07	Densosporales_fam16_gen07_pseudo_sp_0001	genus	0.996	724
97249f7e71a28f6c4eb0d00709e599af3057ce15	Glomeromycota	AB556926	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_sp_0003	genus	1	652
fc51f1d002541a0dfe85b07634c55ec97d785782	Glomeromycota	EUK1201002	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Microdominikia;s__Microdominikia_indica	Glomeromycetes	Glomerales	Glomeraceae	Microdominikia	Microdominikia indica	species	0.998	614
9f7d733fdaf896100e19fad875ec35c3a0774223	Glomeromycota	EUK1124102	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_sp_0003	genus	0.996	610
ae05df173bb7b8dd5b4c253966185c5524641db7	Glomeromycota	EUK1187765	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_sp_0002	genus	0.98	600
c2c119f515b450720f0db4cb5f08c0c988e6ab25	Endogonomycetes	EUK1138380	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam02;g__Densosporales_fam02_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam02	Densosporales_fam02_gen01	Densosporales_fam02_gen01_pseudo_sp_0002	genus	0.998	591
d3734076f3e845859fc07c49a56b62a8ca311101	Endogonomycetes	EUK1190568	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortiaceae_gen06;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortiaceae_gen06	Planticonsortiaceae_gen06_pseudo_sp_0002	genus	0.98	575
c0407cc54e05db27feeaa6d82374287d3eb80517	Glomeromycota	EUK1268997	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Silvaspora;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Silvaspora	Silvaspora_pseudo_sp_0002	genus	0.994	568
ac6e4021970c3327fd4f3883273c1c1eeca1ca8c	Glomeromycota	EUK1201282	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Polonosporaceae;g__Polonospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Polonosporaceae	Polonospora	Polonospora_pseudo_sp_0002	genus	0.998	549
1e54ccebd488315d0f4ba3ae5f8c30f043f6e56a	Glomeromycota	DQ396766	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_densissima	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora densissima	species	1	538
0c2a539bdc3d99d0e1ca2840283a092a5fe7559a	Glomeromycota	AJ276092	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Scutellosporaceae;g__Scutellospora;s__Scutellospora_aurigloba	Glomeromycetes	Gigasporales	Scutellosporaceae	Scutellospora	Scutellospora aurigloba	species	0.998	537
f051c95448d11ca7aedb875b920dfa838a16be97	Glomeromycota	AB047306	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora_leptoticha	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora_pseudo_sp_0001	genus	0.99	503
383339939b15703826915082534836c32f84d191	Endogonomycetes	MH174469	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__Planticonsortium;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortium	Planticonsortium_pseudo_sp_0002	genus	0.996	491
3701b5a0b7861b068dde769080e3c2c763b58dfd	Glomeromycota	HE799021	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_sp_0004	genus	1	477
05c6e85d6c55c8ab277c24ff7f54f1bfbc54a8db	Glomeromycota	EUK1187771	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Polonosporaceae;g__Polonospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Polonosporaceae	Polonospora	Polonospora_pseudo_sp_0003	genus	0.992	475
d8f446f393d5b5731d9dbf763027c8c0d7e020db	Glomeromycota	EUK1268666	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizoglomus;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0005	genus	0.98	438
1a96105179424bbd754e329f3c92140abc6dec80	Glomeromycota	EUK1187813	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__unclassified	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora_pseudo_sp_0002	genus	0.994	436
f4a936ad1a69b906641eb4d853bf3035a3d3e651	Glomeromycota	EUK1187883	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Scutellosporaceae;g__Scutellospora;s__unclassified	Glomeromycetes	Gigasporales	Scutellosporaceae	Scutellospora	Scutellospora_pseudo_sp_0002	genus	0.994	403
6cd05d5b83299f77d7d4ce0e96b2e14e4271796e	Endogonomycetes	EUK1271032	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam02;g__Densosporales_fam02_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam02	Densosporales_fam02_gen01	Densosporales_fam02_gen01_pseudo_sp_0003	genus	0.986	398
2d4f897057030712e493fc06e3a37d7a8e5f1271	Glomeromycota	HM153417	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_africanum	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus africanum	species	0.998	395
81da931c1488438c9ccee9d8bbc431f9dc3603c3	Glomeromycota	FN869903	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0006	genus	0.998	387
7dae38d8a4d73b282eb8f53cc01b77dcbca10b98	Glomeromycota	EUK1269191	k__Fungi;p__Glomeromycota;c__Glomeromycota_cl01;o__unclassified;f__unclassified;g__unclassified;s__unclassified	Glomeromycota_cl01	Glomeromycota_cl01_pseudo_ord_0001	Glomeromycota_cl01_pseudo_fam_0001	Glomeromycota_cl01_pseudo_gen_0001	Glomeromycota_cl01_pseudo_sp_0001	class	0.99	375
ce0a65ee3e7a533bdc12906e548367aeec1f5e7e	Endogonomycetes	EF023703	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Planticonsortiaceae;g__unclassified;s__unclassified	Endogonomycetes	Densosporales	Planticonsortiaceae	Planticonsortium	Planticonsortium_pseudo_sp_0003	genus	0.998	373
26a99bd4b5facf153a5a23725315114d1a175e34	Endogonomycetes	KC215424	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam03;g__Densosporales_fam03_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam03	Densosporales_fam03_gen01	Densosporales_fam03_gen01_pseudo_sp_0003	genus	0.982	347
e6338d62981cd98e3e35fc910f7d3e1f457d7fa5	Endogonomycetes	MH174523	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam05;g__Densosporales_fam05_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam05	Densosporales_fam05_gen01	Densosporales_fam05_gen01_pseudo_sp_0003	genus	0.998	342
176e9cdb24961d0f601d266f14b2ca25bbb1c12b	Glomeromycota	EUK1201849	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizoglomus;s__Rhizoglomus_intraradices	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus intraradices	species	1	331
013837b095c9447805734c450470329c002d11fb	Glomeromycota	FJ009594	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizoglomus;s__Rhizoglomus_intraradices	Glomeromycetes	Glomerales	Glomeraceae	Rhizoglomus	Rhizoglomus_pseudo_sp_0006	genus	0.988	325
83a8712fe8f1bd50582c904ee62e6afd9ffd9dea	Glomeromycota	HF566450	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unclassified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_sp_0004	genus	0.992	325
58f5b99b72d7cf8f58d0732f1f11975509e2e916	Endogonomycetes	EUK1271063	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam11;g__unclassified;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam11	Densosporales_fam11_pseudo_gen_0001	Densosporales_fam11_pseudo_sp_0002	family	0.984	315
51ad106a7fccf59af8d9df8a0ece1246d9344598	Glomeromycota	AB594856	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen25;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen25	Glomeraceae_gen25_pseudo_sp_0001	genus	1	314
db494b0e1575ab8cea7b7746b2307f1dd296f1a8	Glomeromycota	EUK1266503	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_sp_0005	genus	0.994	306
8c7ed0b5d75641134ea601b86330b12692bb4084	Glomeromycota	EUK1201005	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0006	genus	0.988	287
3c4ad87da7e199afad3b3ae69b41addae38d95d8	Glomeromycota	HE798832	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen11;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen11	Glomeraceae_gen11_pseudo_sp_0001	genus	0.988	284
7b47cbc45b69ee14361b76da09ad8a9f1fbd0786	Glomeromycota	AB594909	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen21;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen21	Glomeraceae_gen21_pseudo_sp_0002	genus	0.986	282
d23943070a9e520d73d5a325d14d23816111a61a	Glomeromycota	EUK1104744	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__unclassified	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus_pseudo_sp_0001	genus	0.984	282
d4e86fb0e2311074b13ffc23e52ff0cec93d0bfd	Glomeromycota	AB594873	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen27;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen27	Glomeraceae_gen27_pseudo_sp_0002	genus	0.996	271
f6e831be77845055911b910f21cf09bc9e02207d	Glomeromycota	EUK1201806	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__unclassified	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora_pseudo_sp_0002	genus	0.996	267
f5e2212511de67c652ba85a7ec557a41d1c95408	Glomeromycota	EUK1266129	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_epigaea	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora epigaea	species	0.998	267
